customer_id,customer_name,email,registration_date,customer_type
1,Allison Hill,donaldgarcia@hotmail.com,2023-02-08 20:28:06,PREMIUM
2,Angie Henderson,davisjesse@hotmail.com,2023-08-05 18:21:03,PREMIUM
3,Cristian Santos,lrobinson@yahoo.com,2025-04-27 04:44:17,REGULAR
4,Abigail Shaffer,jpeterson@gmail.com,2023-02-16 06:55:15,REGULAR
5,Gabrielle Davis,howardmaurice@yahoo.com,2025-07-24 04:53:06,REGULAR
6,Monica Herrera,smiller@hotmail.com,2025-10-06 13:26:52,PREMIUM
7,Shannon Ray,williamsjeremy@yahoo.com,2024-11-28 19:43:37,REGULAR
8,Dr. Sharon James,xreid@gmail.com,2023-01-11 02:17:28,PREMIUM
9,Daniel Adams,lynchgeorge@hotmail.com,2024-10-18 12:12:24,REGULAR
10,Joel Nelson,gabriellecameron@gmail.com,2024-06-06 21:09:15,REGULAR
11,Andrew Stewart,carl95@gmail.com,2024-07-11 15:43:16,PREMIUM
12,Jennifer Rocha,ithomas@gmail.com,2023-03-09 11:56:59,PREMIUM
13,Kimberly Burgess,zhurst@yahoo.com,2024-08-11 00:47:04,REGULAR
14,Zachary Hicks,camposmichelle@gmail.com,2025-09-03 13:23:25,REGULAR
15,Rebecca Henderson,cruzcaitlin@yahoo.com,2025-06-15 21:14:53,REGULAR
16,Tricia Valencia,frazierdanny@hotmail.com,2025-10-24 05:41:00,REGULAR
17,Patricia Peterson,ryan70@hotmail.com,2023-05-04 22:51:37,PREMIUM
18,Deborah Mason,williamrodriguez@hotmail.com,2024-08-13 12:07:58,REGULAR
19,Mark Lynch,nathanielmartin@hotmail.com,2024-07-20 17:55:46,REGULAR
20,Linda Burns,hickmannatasha@yahoo.com,2025-11-07 01:56:29,REGULAR
21,David Bradley,millertodd@gmail.com,2025-10-03 16:30:37,REGULAR
22,Kim Martinez,karroyo@yahoo.com,2025-04-09 18:10:40,PREMIUM
23,Lisa Brandt,jenniferross@hotmail.com,2024-08-12 11:07:27,REGULAR
24,Jessica Holmes,wrightcaleb@gmail.com,2025-05-15 04:35:29,REGULAR
25,Crystal Robinson,zimmermanbrian@gmail.com,2023-03-28 21:31:04,REGULAR
26,Shannon Jones,joshuawashington@hotmail.com,2024-05-05 00:56:31,REGULAR
27,Timothy Duncan,esanchez@yahoo.com,2025-05-31 02:00:17,PREMIUM
28,Brent Jordan,ujenkins@gmail.com,2025-10-15 04:31:28,REGULAR
29,Victoria Garcia,zchandler@gmail.com,2025-09-25 15:15:17,REGULAR
30,Connor West,dwhite@gmail.com,2024-01-19 02:56:23,PREMIUM
31,Angela Morton,williamsyvette@gmail.com,2025-06-27 02:56:43,REGULAR
32,Tammy Allison,richardolson@yahoo.com,2024-07-16 08:12:20,REGULAR
33,Carmen Smith,ybaker@yahoo.com,2025-03-02 12:31:01,REGULAR
34,Michael Cross,smoore@gmail.com,2023-06-20 08:00:57,REGULAR
35,Lauren Daniels,brian97@hotmail.com,2025-11-23 02:10:42,REGULAR
36,Kim Brown,yorkcasey@gmail.com,2024-08-15 19:47:53,REGULAR
37,Cynthia Wilson,bethwilliams@gmail.com,2024-01-26 13:23:51,VIP
38,Kevin Mills,james53@yahoo.com,2023-01-18 20:02:36,PREMIUM
39,Michael Evans,sarah10@yahoo.com,2025-04-14 03:42:17,PREMIUM
40,Kristine Garcia,williamanderson@yahoo.com,2024-06-12 10:39:39,REGULAR
41,Sherry Wood,samueldaniels@yahoo.com,2024-12-05 20:02:45,REGULAR
